original,translation
boa (snake),.
boat,
bob cut,.
bobcat,.
bodily fluids,.
bodily fluids in ass,.
bodily fluids in pussy,.
bodily noises,.
body armor,.
body blush,.
body control,.
body hair,.
body horror,.
body in mouth,.
body outline,.
body part growth,.
body part in ass,.
body part in mouth,.
body part in pussy,.
body pillow,
body size growth,.
body swap,.
body writing,
bodyguard position,
bodyjob,.
bodypaint,
bodysuit,
boinae,.
bold text,.
bomb,
bondage,
bondage furniture,
bondage gear,
bondage gloves,
bone,
bone frill,.
bong,
bonnet,
boo (mario),.
boob hat,.
book,
bookshelf,
boop,
boots,
boots only,.
border,
border collie,.
bored,
borzoi,.
boss,.
boss monster (undertale),.
both pregnant,.
both sexes in same situation,.
bottle,
bottom heavy,
bottomless,
bottomless anthro,.
bottomless female,.
bottomless gynomorph,.
bottomless intersex,.
bottomless male,.
bottomwear,
bottomwear around one leg,.
bottomwear aside,.
bottomwear down,.
bottomwear pull,.
boulder,
bouncing balls,.
bouncing breasts,
bouncing butt,.
bouncing penis,.
bound,
bound together,.
bouquet,
bovid,.
bovid horn,.
bovid humanoid,.
bovine,.
bovine genitalia,.
bovine horn,.
bovine humanoid,.
bow (feature),bow
bow (weapon),
bow accessory,.
bow bra,.
bow experiment (resident evil),.
bow in front,.
bow panties,.
bow ribbon,.
bow tie,
bow underwear,.
bowed string instrument,.
bowl,
bowsette meme,.
box,
boxer briefs,.
boxers (clothing),.
boxing,
boxing gloves,
boy shorts,.
bra,
bra strap,.
bracelet,
bracers,
braces,
braided beard,.
braided hair,.
braided pigtails,.
braided ponytail,.
braided tail,.
brain,
brainwashing,
braixen,.
branch,.
bread,
breaking the fourth wall,.
breast blush,.
breast bondage,
breast curtains,.
breast envy,.
breast expansion,.
breast fondling,
breast grab,
breast growth,
breast implants,.
breast imprints,.
breast jiggle,
breast lick,
breast markings,.
breast milking,
breast play,
breast rest,
breast size difference,.
breast smother,
breast squeeze,
breast squish,
breast suck,
breast tattoo,
breastfeeding,
breastfeeding during sex,.
breastless clothing,.
breastplate,.
breasts,
breasts and teats,.
breasts apart,.
breasts frottage,.
breasts on glass,
breath,
breath play,
breath powers,.
breathable gag,.
breathing,.
breathing noises,.
breed,.
breeding mount,.
breeding slave,.
breeding stand,.
breegull,.
brick,.
brick wall,
bridal carry,
bridal gauntlets,.
bridal gauntlets only,.
bride,.
bridge,.
bridge piercing,.
bridle,
briefs,.
briefs only,.
brionne,.
broad shoulders,.
broken condom,
broken glass,
broken heart,
broken horn,
brooch,.
broom,
broom riding,
brother penetrating brother,.
brother penetrating sister,.
brown antlers,.
brown anus,.
brown areola,.
brown arms,.
brown background,.
brown balls,.
brown bear,.
brown beard,.
brown belly,.
brown belt,.
brown body,.
brown boots,.
brown bottomwear,.
brown breasts,.
brown butt,.
brown claws,.
brown clothing,.
brown collar,.
brown countershading,.
brown ears,.
brown eyebrows,.
brown eyes,.
brown face,.
brown facial hair,.
brown feathers,.
brown feet,.
brown fingers,.
brown footwear,.
brown fur,.
brown glans,.
brown gloves,.
brown hair,.
brown hands,.
brown handwear,.
